City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Esperance,AU,76.84,clear sky,-33.8667,121.9,Hospitality Esperance
217,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
224,Le Port,RE,85.96,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
228,Kota Kinabalu,MY,85.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
231,Sur,OM,77.61,clear sky,22.5667,59.5289,Sur Plaza Hotel
233,Urucui,BR,75.94,scattered clouds,-7.2294,-44.5561,Hotel Premium Piauí
234,Magdalena,PH,87.12,overcast clouds,14.1999,121.429,Samparada & Gestiada Residences
237,Cockburn Town,TC,78.96,few clouds,21.4612,-71.1419,Osprey Beach Hotel
242,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
245,Bac Lieu,VN,80.13,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
249,Parnamirim,BR,80.49,scattered clouds,-5.9156,-35.2628,Pousada Joaci
250,Port Blair,IN,81.64,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
251,Martapura,ID,84.29,scattered clouds,-3.4167,114.85,Montana Hotel Syariah
256,Aloleng,PH,83.93,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
260,Samarai,PG,84.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
264,Aden,YE,79.54,clear sky,12.7794,45.0367,Sama Emirate Hotel
265,Majene,ID,83.32,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
270,Mana,GF,76.26,overcast clouds,5.6592,-53.7767,LE SAMANA
272,Hambantota,LK,82.8,overcast clouds,6.1241,81.1185,Bungalow 63
274,Manokwari,ID,81.46,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
279,Tura,IN,76.46,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
283,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
284,Ca Mau,VN,81.16,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
285,Sabang,ID,81.16,overcast clouds,5.8933,95.3214,Hotel Citra
