City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Hong Gai,VN,20.956,107.0946,75.11,36,74,5.7,broken clouds
204,Les Cayes,HT,18.2,-73.75,75.52,84,100,3.22,overcast clouds
205,Severo-Kurilsk,RU,50.6789,156.125,38.57,97,100,14.38,light rain
206,Kantunilkin,MX,21.0917,-87.45,72.95,90,0,2.77,clear sky
207,Mitsamiouli,KM,-11.3847,43.2844,82.69,69,20,9.22,few clouds
208,Santiago Del Estero,AR,-27.7951,-64.2615,80.71,41,100,3.33,overcast clouds
209,Barrow,US,71.2906,-156.7887,-7.58,71,1,19.57,clear sky
210,Berlevag,NO,70.8578,29.0864,22.28,82,54,14.16,broken clouds
211,Blytheville,US,35.9273,-89.919,66.34,77,90,11.99,overcast clouds
212,Baykit,RU,61.67,96.37,19.98,85,100,12.75,overcast clouds
213,Esperance,AU,-33.8667,121.9,76.84,53,0,19.64,clear sky
214,Mabaruma,GY,8.2,-59.7833,71.78,99,84,1.74,broken clouds
215,Manicore,BR,-5.8092,-61.3003,73.33,99,100,1.19,overcast clouds
216,Tucuman,AR,-26.8241,-65.2226,73.4,94,90,6.91,overcast clouds
217,Tautira,PF,-17.7333,-149.15,82.42,76,51,15.64,broken clouds
218,Benghazi,LY,32.1167,20.0667,62.22,68,77,6.91,broken clouds
219,Gamboma,CG,-1.8764,15.8644,72.66,91,100,2.55,overcast clouds
220,Gewane,ET,10.1664,40.6453,74.84,45,0,7.2,clear sky
221,Okakarara,NA,-20.5833,17.4333,69.22,60,100,6.85,overcast clouds
222,Tiksi,RU,71.6872,128.8694,-31.27,99,44,4.47,scattered clouds
223,Sajanan,TN,37.0573,9.2426,55.67,69,76,18.39,broken clouds
224,Le Port,RE,-20.9373,55.2919,85.96,74,1,3.69,clear sky
225,Abu Dhabi,AE,24.4667,54.3667,73.96,63,20,1.99,few clouds
226,Idrinskoye,RU,54.3708,92.1358,21.02,93,78,2.68,broken clouds
227,Flinders,AU,-34.5833,150.8552,70.81,78,98,13.67,overcast clouds
228,Kota Kinabalu,MY,5.9749,116.0724,85.98,79,20,3.44,few clouds
229,Sobolevo,RU,54.4299,31.8996,24.01,92,99,10.76,overcast clouds
230,Krasnoselkup,RU,65.7,82.4667,-19.46,93,96,8.99,overcast clouds
231,Sur,OM,22.5667,59.5289,77.61,41,0,1.68,clear sky
232,Whitianga,NZ,-36.8333,175.7,64.6,92,100,7.16,overcast clouds
233,Urucui,BR,-7.2294,-44.5561,75.94,86,42,1.07,scattered clouds
234,Magdalena,PH,14.1999,121.429,87.12,66,100,12.86,overcast clouds
235,Vila Franca Do Campo,PT,37.7167,-25.4333,60.19,82,9,1.01,clear sky
236,Tateyama,JP,34.9833,139.8667,61.14,55,3,21.5,clear sky
237,Cockburn Town,TC,21.4612,-71.1419,78.96,76,24,16.75,few clouds
238,Gilgit,PK,35.9221,74.3087,48.09,26,97,1.14,overcast clouds
239,Wadena,US,46.4425,-95.1361,28.18,62,32,12.24,scattered clouds
240,Dole,FR,47.0833,5.5,46.76,93,90,26.46,light rain
241,Viedma,AR,-40.8135,-62.9967,52.21,70,51,7.67,broken clouds
242,Hilo,US,19.7297,-155.09,78.53,83,90,12.66,light rain
243,Gushikawa,JP,26.3544,127.8686,69.39,44,20,19.57,few clouds
244,Vila Velha,BR,-20.3297,-40.2925,70.95,93,40,3.44,scattered clouds
245,Bac Lieu,VN,9.285,105.7244,80.13,65,97,8.75,overcast clouds
246,Zorritos,PE,-3.6805,-80.6782,72.28,78,61,4.9,broken clouds
247,Borogontsy,RU,62.6683,131.1683,-31.29,94,54,9.6,broken clouds
248,Puerto Cabezas,NI,14.0351,-83.3888,74.79,93,100,6.31,overcast clouds
249,Parnamirim,BR,-5.9156,-35.2628,80.49,89,40,6.91,scattered clouds
250,Port Blair,IN,11.6667,92.75,81.64,77,78,11.86,broken clouds
251,Martapura,ID,-3.4167,114.85,84.29,79,40,6.91,scattered clouds
252,Boksitogorsk,RU,59.474,33.8485,12.6,94,100,6.24,overcast clouds
253,Alice Springs,AU,-23.7,133.8833,99.95,14,2,16.11,clear sky
254,Buta,CD,2.7858,24.73,69.26,97,99,0.85,light rain
255,Khani,GE,41.9563,42.9566,29.77,47,62,8.16,broken clouds
256,Aloleng,PH,16.1307,119.7824,83.93,53,53,8.25,broken clouds
257,Corinto,GR,37.9407,22.9573,58.44,89,84,3.96,broken clouds
258,Cidreira,BR,-30.1811,-50.2056,68.45,80,51,18.66,broken clouds
259,Fort Nelson,CA,58.8053,-122.7002,-11.61,77,90,0.0,light snow
260,Samarai,PG,-10.6167,150.6667,84.13,74,85,10.71,overcast clouds
261,Union,US,40.6334,-74.2663,41.0,65,75,0.0,broken clouds
262,Jalu,LY,29.0331,21.5482,59.95,31,97,7.85,overcast clouds
263,Isiro,CD,2.7739,27.616,67.12,95,98,1.52,light rain
264,Aden,YE,12.7794,45.0367,79.54,60,4,11.95,clear sky
265,Majene,ID,-3.5403,118.9707,83.32,74,97,3.85,overcast clouds
266,Amapa,BR,1.0,-52.0,70.66,99,69,1.41,broken clouds
267,Saldanha,ZA,-33.0117,17.9442,60.85,76,97,15.08,overcast clouds
268,Batetskiy,RU,58.6461,30.3027,22.46,95,100,7.14,light snow
